,051_VC40_worm_ACN_3,VC40_worm_ACN,VC40_blank_ACN
,052_VC40_worm_ACN_4,VC40_worm_ACN,VC40_blank_ACN
,053_VC40_blank_ACN_1,VC40_blank_ACN,VC40_blank_ACN
,054_VC40_blank_ACN_2,VC40_blank_ACN,VC40_blank_ACN
,061_methBK_ddH2O_ACN_1,methBK_ddH2O_ACN,methBK_ddH2O_ACN
,062_methBK_ddH2O_ACN_2,methBK_ddH2O_ACN,methBK_ddH2O_ACN
,064_Pool_N2_ACN_pool,Pool_N2_ACN_pool,N2_blank_ACN
,064_Pool_N2_ACN_pool_20220714024858,Pool_N2_ACN_pool,N2_blank_ACN
,064_Pool_N2_ACN_pool_20220714081406,Pool_N2_ACN_pool,N2_blank_ACN
,064_Pool_N2_ACN_pool_20220714122659,Pool_N2_ACN_pool,N2_blank_ACN
,065_Pool_VC40_ACN_pool,Pool_VC40_ACN_pool,VC40_blank_ACN
,065_Pool_VC40_ACN_pool_20220714030700,Pool_VC40_ACN_pool,VC40_blank_ACN
,065_Pool_VC40_ACN_pool_20220714083210,Pool_VC40_ACN_pool,VC40_blank_ACN
,065_Pool_VC40_ACN_pool_20220714124503,Pool_VC40_ACN_pool,VC40_blank_ACN
,066_Pool_VC1668_ACN_pool,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,066_Pool_VC1668_ACN_pool_20220714032505,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,066_Pool_VC1668_ACN_pool_20220714085014,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,066_Pool_VC1668_ACN_pool_20220714130308,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,067_Pool_BR5270_ACN_pool,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,067_Pool_BR5270_ACN_pool_20220714034309,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,067_Pool_BR5270_ACN_pool_20220714090817,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,067_Pool_BR5270_ACN_pool_20220714132112,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,068_Pool_UA57_ACN_pool,Pool_UA57_ACN_pool,UA57_blank_ACN
,068_Pool_UA57_ACN_pool_20220714040112,Pool_UA57_ACN_pool,UA57_blank_ACN
,068_Pool_UA57_ACN_pool_20220714092622,Pool_UA57_ACN_pool,UA57_blank_ACN
,068_Pool_UA57_ACN_pool_20220714133916,Pool_UA57_ACN_pool,UA57_blank_ACN
,071_Pool_VC40_ACN_pool,Pool_VC40_ACN_pool,VC40_blank_ACN
,071_Pool_VC40_ACN_pool_20220714041916,Pool_VC40_ACN_pool,VC40_blank_ACN
,071_Pool_VC40_ACN_pool_20220714094426,Pool_VC40_ACN_pool,VC40_blank_ACN
,071_Pool_VC40_ACN_pool_20220714135720,Pool_VC40_ACN_pool,VC40_blank_ACN
,079_(dry)_N2_worm_ACN_1,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,080_(dry)_N2_worm_ACN_2,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,081_(dry)_N2_worm_ACN_3,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,082_(dry)_N2_worm_ACN_4,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,083_(dry)_N2_blank_ACN_1,(dry)_N2_blank_ACN,(dry)_N2_blank_ACN
,084_(dry)_N2_blank_ACN_2,(dry)_N2_blank_ACN,(dry)_N2_blank_ACN
,085_(dry)_VC40_worm_ACN_1,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,086_(dry)_VC40_worm_ACN_2,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,087_(dry)_VC40_worm_ACN_3,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,088_(dry)_VC40_worm_ACN_4,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,089_(dry)_VC40_blank_ACN_1,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,090_(dry)_VC40_blank_ACN_2,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,091_(dry)_VC1668_worm_ACN_1,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,092_(dry)_VC1668_worm_ACN_2,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,093_(dry)_VC1668_worm_ACN_3,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,094_(dry)_VC1668_worm_ACN_4,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,095_(dry)_VC1668_blank_ACN_1,(dry)_VC1668_blank_ACN,(dry)_VC1668_blank_ACN
,096_(dry)_VC1668_blank_ACN_2,(dry)_VC1668_blank_ACN,(dry)_VC1668_blank_ACN
,097_(dry)_BR5270_worm_ACN_1,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,098_(dry)_BR5270_worm_ACN_2,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,099_(dry)_BR5270_worm_ACN_3,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,100_(dry)_BR5270_worm_ACN_4,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,101_(dry)_BR5270_blank_ACN_1,(dry)_BR5270_blank_ACN,(dry)_BR5270_blank_ACN
,102_(dry)_BR5270_blank_ACN_2,(dry)_BR5270_blank_ACN,(dry)_BR5270_blank_ACN
,103_(dry)_UA57_worm_ACN_1,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,104_(dry)_UA57_worm_ACN_2,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,105_(dry)_UA57_worm_ACN_3,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,106_(dry)_UA57_worm_ACN_4,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,107_(dry)_UA57_blank_ACN_1,(dry)_UA57_blank_ACN,(dry)_UA57_blank_ACN
,108_(dry)_UA57_blank_ACN_2,(dry)_UA57_blank_ACN,(dry)_UA57_blank_ACN
,121_(dry)_VC40_worm_ACN_1,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,122_(dry)_VC40_worm_ACN_2,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,123_(dry)_VC40_worm_ACN_3,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,124_(dry)_VC40_worm_ACN_4,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,125_(dry)_VC40_blank_ACN_1,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,126_(dry)_VC40_blank_ACN_2,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,133_(dry)_methBK_ddH2O_ACN_1,(dry)_methBK_ddH2O_ACN,(dry)_methBK_ddH2O_ACN
,134_(dry)_methBK_ddH2O_ACN_2,(dry)_methBK_ddH2O_ACN,(dry)_methBK_ddH2O_ACN
,136_Pool_N2_ACN_pool,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,136_Pool_N2_ACN_pool_20220714203441,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,136_Pool_N2_ACN_pool_20220715004714,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,136_Pool_N2_ACN_pool_20220715072327,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,137_Pool_VC40_ACN_pool,Pool_VC40_ACN_pool,VC40_blank_ACN
,137_Pool_VC40_ACN_pool_20220714205244,Pool_VC40_ACN_pool,VC40_blank_ACN
,137_Pool_VC40_ACN_pool_20220715010516,Pool_VC40_ACN_pool,VC40_blank_ACN
,137_Pool_VC40_ACN_pool_20220715074131,Pool_VC40_ACN_pool,VC40_blank_ACN
,138_Pool_VC1668_ACN_pool,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,138_Pool_VC1668_ACN_pool_20220714211048,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,138_Pool_VC1668_ACN_pool_20220715012316,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,138_Pool_VC1668_ACN_pool_20220715075934,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,139_Pool_BR5270_ACN_pool,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,139_Pool_BR5270_ACN_pool_20220714212851,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,139_Pool_BR5270_ACN_pool_20220715014117,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,139_Pool_BR5270_ACN_pool_20220715081739,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,140_Pool_UA57_ACN_pool,Pool_UA57_ACN_pool,UA57_blank_ACN
,140_Pool_UA57_ACN_pool_20220714214654,Pool_UA57_ACN_pool,UA57_blank_ACN
,140_Pool_UA57_ACN_pool_20220715015918,Pool_UA57_ACN_pool,UA57_blank_ACN
,140_Pool_UA57_ACN_pool_20220715083543,Pool_UA57_ACN_pool,UA57_blank_ACN
,143_Pool_VC40_ACN_pool,Pool_VC40_ACN_pool,VC40_blank_ACN
,143_Pool_VC40_ACN_pool_20220714220458,Pool_VC40_ACN_pool,VC40_blank_ACN
,143_Pool_VC40_ACN_pool_20220715021719,Pool_VC40_ACN_pool,VC40_blank_ACN
,143_Pool_VC40_ACN_pool_20220715085345,Pool_VC40_ACN_pool,VC40_blank_ACN
,295_N2_worm_2B_1,(dry)_N2_worm_2U,(dry)_N2_blank_2U
,296_N2_worm_2B_2,(dry)_N2_worm_2U,(dry)_N2_blank_2U
,297_N2_worm_2B_3,(dry)_N2_worm_2U,(dry)_N2_blank_2U
,298_N2_worm_2B_4,(dry)_N2_worm_2U,(dry)_N2_blank_2U
,299_N2_blank_2B_1,(dry)_N2_blank_2U,(dry)_N2_blank_2U
,300_N2_blank_2B_2,(dry)_N2_blank_2U,(dry)_N2_blank_2U
,301_VC40_worm_2B_1,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,302_VC40_worm_2B_2,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,303_VC40_worm_2B_3,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,304_VC40_worm_2B_4,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,305_VC40_blank_2B_1,(dry)_VC40_blank_2U,(dry)_VC40_blank_2U
,306_VC40_blank_2B_2,(dry)_VC40_blank_2U,(dry)_VC40_blank_2U
,307_VC1668_worm_2B_1,(dry)_VC1668_worm_2U,(dry)_VC1668_blank_2U
,308_VC1668_worm_2B_2,(dry)_VC1668_worm_2U,(dry)_VC1668_blank_2U
,309_VC1668_worm_2B_3,(dry)_VC1668_worm_2U,(dry)_VC1668_blank_2U
,310_VC1668_worm_2B_4,(dry)_VC1668_worm_2U,(dry)_VC1668_blank_2U
,311_VC1668_blank_2B_1,(dry)_VC1668_blank_2U,(dry)_VC1668_blank_2U
,312_VC1668_blank_2B_2,(dry)_VC1668_blank_2U,(dry)_VC1668_blank_2U
,313_BR5270_worm_2B_1,(dry)_BR5270_worm_2U,(dry)_BR5270_blank_2U
,314_BR5270_worm_2B_2,(dry)_BR5270_worm_2U,(dry)_BR5270_blank_2U
,315_BR5270_worm_2B_3,(dry)_BR5270_worm_2U,(dry)_BR5270_blank_2U
,316_BR5270_worm_2B_4,(dry)_BR5270_worm_2U,(dry)_BR5270_blank_2U
,317_BR5270_blank_2B_1,(dry)_BR5270_blank_2U,(dry)_BR5270_blank_2U
,318_BR5270_blank_2B_2,(dry)_BR5270_blank_2U,(dry)_BR5270_blank_2U
,319_UA57_worm_2B_1,(dry)_UA57_worm_2U,(dry)_UA57_blank_2U
,320_UA57_worm_2B_2,(dry)_UA57_worm_2U,(dry)_UA57_blank_2U
,321_UA57_worm_2B_3,(dry)_UA57_worm_2U,(dry)_UA57_blank_2U
,322_UA57_worm_2B_4,(dry)_UA57_worm_2U,(dry)_UA57_blank_2U
,323_UA57_blank_2B_1,(dry)_UA57_blank_2U,(dry)_UA57_blank_2U
,324_UA57_blank_2B_2,(dry)_UA57_blank_2U,(dry)_UA57_blank_2U
,337_VC40_worm_2B_1,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,338_VC40_worm_2B_2,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,339_VC40_worm_2B_3,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,340_VC40_worm_2B_4,(dry)_VC40_worm_2U,(dry)_VC40_blank_2U
,341_VC40_blank_2B_1,(dry)_VC40_blank_2U,(dry)_VC40_blank_2U
,342_VC40_blank_2B_2,(dry)_VC40_blank_2U,(dry)_VC40_blank_2U
,349_methBK_ddH2O_2B_1,(dry)_methBK_ddH2O_2U,(dry)_methBK_ddH2O_2U
,350_methBK_ddH2O_2B_2,(dry)_methBK_ddH2O_2U,(dry)_methBK_ddH2O_2U
,352_Pool_N2_2B_pool,(dry)_Pool_N2_2U_pool,(dry)_N2_blank_2U
,352_Pool_N2_2B_pool_20220715153111,(dry)_Pool_N2_2U_pool,(dry)_N2_blank_2U
,352_Pool_N2_2B_pool_20220715202922,(dry)_Pool_N2_2U_pool,(dry)_N2_blank_2U
,352_Pool_N2_2B_pool_20220716030621,(dry)_Pool_N2_2U_pool,(dry)_N2_blank_2U
,353_Pool_VC40_2B_pool,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,353_Pool_VC40_2B_pool_20220715154914,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,353_Pool_VC40_2B_pool_20220715204727,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,353_Pool_VC40_2B_pool_20220716032425,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,354_Pool_VC1668_2B_pool,(dry)_Pool_VC1668_2U_pool,(dry)_VC1668_blank_2U
,354_Pool_VC1668_2B_pool_20220715160718,(dry)_Pool_VC1668_2U_pool,(dry)_VC1668_blank_2U
,354_Pool_VC1668_2B_pool_20220715210531,(dry)_Pool_VC1668_2U_pool,(dry)_VC1668_blank_2U
,354_Pool_VC1668_2B_pool_20220716034230,(dry)_Pool_VC1668_2U_pool,(dry)_VC1668_blank_2U
,355_Pool_BR5270_2B_pool,(dry)_Pool_BR5270_2U_pool,(dry)_BR5270_blank_2U
,355_Pool_BR5270_2B_pool_20220715162521,(dry)_Pool_BR5270_2U_pool,(dry)_BR5270_blank_2U
,355_Pool_BR5270_2B_pool_20220715212334,(dry)_Pool_BR5270_2U_pool,(dry)_BR5270_blank_2U
,355_Pool_BR5270_2B_pool_20220716040033,(dry)_Pool_BR5270_2U_pool,(dry)_BR5270_blank_2U
,356_Pool_UA57_2B_pool,(dry)_Pool_UA57_2U_pool,(dry)_UA57_blank_2U
,356_Pool_UA57_2B_pool_20220715172521,(dry)_Pool_UA57_2U_pool,(dry)_UA57_blank_2U
,356_Pool_UA57_2B_pool_20220715214138,(dry)_Pool_UA57_2U_pool,(dry)_UA57_blank_2U
,356_Pool_UA57_2B_pool_20220716041838,(dry)_Pool_UA57_2U_pool,(dry)_UA57_blank_2U
,359_Pool_VC40_2B_pool,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,359_Pool_VC40_2B_pool_20220715174658,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,359_Pool_VC40_2B_pool_20220715215944,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,359_Pool_VC40_2B_pool_20220716043642,(dry)_Pool_VC40_2U_pool,(dry)_VC40_blank_2U
,367_(dry)_N2_worm_2B_1,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,368_(dry)_N2_worm_2B_2,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,369_(dry)_N2_worm_2B_3,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,370_(dry)_N2_worm_2B_4,(dry)_N2_worm_ACN,(dry)_N2_blank_ACN
,371_(dry)_N2_blank_2B_1,(dry)_N2_blank_ACN,(dry)_N2_blank_ACN
,372_(dry)_N2_blank_2B_2,(dry)_N2_blank_ACN,(dry)_N2_blank_ACN
,373_(dry)_VC40_worm_2B_1,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,374_(dry)_VC40_worm_2B_2,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,375_(dry)_VC40_worm_2B_3,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,376_(dry)_VC40_worm_2B_4,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,377_(dry)_VC40_blank_2B_1,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,378_(dry)_VC40_blank_2B_2,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,379_(dry)_VC1668_worm_2B_1,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,380_(dry)_VC1668_worm_2B_2,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,381_(dry)_VC1668_worm_2B_3,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,382_(dry)_VC1668_worm_2B_4,(dry)_VC1668_worm_ACN,(dry)_VC1668_blank_ACN
,383_(dry)_VC1668_blank_2B_1,(dry)_VC1668_blank_ACN,(dry)_VC1668_blank_ACN
,384_(dry)_VC1668_blank_2B_2,(dry)_VC1668_blank_ACN,(dry)_VC1668_blank_ACN
,385_(dry)_BR5270_worm_2B_1,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,386_(dry)_BR5270_worm_2B_2,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,387_(dry)_BR5270_worm_2B_3,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,388_(dry)_BR5270_worm_2B_4,(dry)_BR5270_worm_ACN,(dry)_BR5270_blank_ACN
,389_(dry)_BR5270_blank_2B_1,(dry)_BR5270_blank_ACN,(dry)_BR5270_blank_ACN
,390_(dry)_BR5270_blank_2B_2,(dry)_BR5270_blank_ACN,(dry)_BR5270_blank_ACN
,391_(dry)_UA57_worm_2B_1,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,392_(dry)_UA57_worm_2B_2,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,393_(dry)_UA57_worm_2B_3,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,394_(dry)_UA57_worm_2B_4,(dry)_UA57_worm_ACN,(dry)_UA57_blank_ACN
,395_(dry)_UA57_blank_2B_1,(dry)_UA57_blank_ACN,(dry)_UA57_blank_ACN
,396_(dry)_UA57_blank_2B_2,(dry)_UA57_blank_ACN,(dry)_UA57_blank_ACN
,409_(dry)_VC40_worm_2B_1,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,410_(dry)_VC40_worm_2B_2,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,411_(dry)_VC40_worm_2B_3,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,412_(dry)_VC40_worm_2B_4,(dry)_VC40_worm_ACN,(dry)_VC40_blank_ACN
,413_(dry)_VC40_blank_2B_1,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,414_(dry)_VC40_blank_2B_2,(dry)_VC40_blank_ACN,(dry)_VC40_blank_ACN
,421_(dry)_methBK_ddH2O_2B_1,(dry)_methBK_ddH2O_ACN,(dry)_methBK_ddH2O_ACN
,422_(dry)_methBK_ddH2O_2B_2,(dry)_methBK_ddH2O_ACN,(dry)_methBK_ddH2O_ACN
,424_(dry)_Pool_N2_2B_pool,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,424_(dry)_Pool_N2_2B_pool_20220716105522,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,424_(dry)_Pool_N2_2B_pool_20220716150725,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,424_(dry)_Pool_N2_2B_pool_20220716214339,Pool_N2_ACN_pool,(dry)_N2_blank_ACN
,425_(dry)_Pool_VC40_2B_pool,Pool_VC40_ACN_pool,VC40_blank_ACN
,425_(dry)_Pool_VC40_2B_pool_20220716111323,Pool_VC40_ACN_pool,VC40_blank_ACN
,425_(dry)_Pool_VC40_2B_pool_20220716152528,Pool_VC40_ACN_pool,VC40_blank_ACN
,425_(dry)_Pool_VC40_2B_pool_20220716220141,Pool_VC40_ACN_pool,VC40_blank_ACN
,426_(dry)_Pool_VC1668_2B_pool,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,426_(dry)_Pool_VC1668_2B_pool_20220716113126,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,426_(dry)_Pool_VC1668_2B_pool_20220716154332,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,426_(dry)_Pool_VC1668_2B_pool_20220716221942,Pool_VC1668_ACN_pool,VC1668_blank_ACN
,427_(dry)_Pool_BR5270_2B_pool,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,427_(dry)_Pool_BR5270_2B_pool_20220716114922,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,427_(dry)_Pool_BR5270_2B_pool_20220716160136,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,427_(dry)_Pool_BR5270_2B_pool_20220716223744,Pool_BR5270_ACN_pool,BR5270_blank_ACN
,428_(dry)_Pool_UA57_2B_pool,Pool_UA57_ACN_pool,UA57_blank_ACN
,428_(dry)_Pool_UA57_2B_pool_20220716120723,Pool_UA57_ACN_pool,UA57_blank_ACN
,428_(dry)_Pool_UA57_2B_pool_20220716161939,Pool_UA57_ACN_pool,UA57_blank_ACN
,428_(dry)_Pool_UA57_2B_pool_20220716225547,Pool_UA57_ACN_pool,UA57_blank_ACN
,431_(dry)_Pool_VC40_2B_pool,Pool_VC40_ACN_pool,VC40_blank_ACN
,431_(dry)_Pool_VC40_2B_pool_20220716122523,Pool_VC40_ACN_pool,VC40_blank_ACN
,431_(dry)_Pool_VC40_2B_pool_20220716163744,Pool_VC40_ACN_pool,VC40_blank_ACN
,431_(dry)_Pool_VC40_2B_pool_20220716231347,Pool_VC40_ACN_pool,VC40_blank_ACN
,blank_01_20220713201423,blank,blank
,blank_01_20220713204751,blank,blank
,blank_02,blank,blank
,blank_03,blank,blank
